osm-id	version	latitudine	longitudine	road	house-number	suburb	district	city	county	state	post-code	country	cc	continent	amenity	brand	car	cu-code	cu-recharge	cu-state	elapsed-time	enel-name	enel-post-code	name	region	serial-number	usage-level	zona
4295717953	7	43.46273	11.877421	Via Guido Monaco				Arezzo			52100	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000566	FINISHED	ACTIVE	0	Monaco	52100	ENEL_00000566	Tuscany	N.13EP22T5311F000017	0	Arezzo
4295717954	7	43.95825	10.16997	Piazza Marconi				Forte dei Marmi			54038	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000589	FINISHED	ACTIVE	0	Marconi	55042	ENEL_00000589	Tuscany	N.13EP22T5311F000013	0	Lucca
4295717955	7	44.69987	10.626468	Piazza Gioberti				Reggio nell'Emilia			42124	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000451	FINISHED	ACTIVE	0	Gioberti 1 seconda	42121	ENEL_00000451	Emilia Romagna	N.11EP21T2302E000227	0	Reggio Emilia
4295717956	7	43.11	12.38	Piazza Francesco Morlacchi				Perugia			6100	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000471	ACTIVE	ACTIVE	7093782	MORLACCHI	6123	ENEL_00000471	Umbria	N.11EP21T2301C000036	0	Perugia
4295717957	7	43.72136	10.40338	Via Santa Caterina				Pisa			56127	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000280	FINISHED	ACTIVE	0	S.Caterina1	56127	ENEL_00000280	Tuscany	N.11EP21T2302C000179	0	Pisa
4295717958	7	41.8819	12.494709	Piazza di Porta Metronia				Roma			asfa	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000300	FINISHED	ACTIVE	0	Assessorato all?Ambiente-Comune di Roma 2	183	ENEL_00000300	Lazio	N.10CP21T2B02A000056	0	Rome
		41.85953	12.495063	Via Giovanni Genocchi				Roma			145	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000374	FINISHED	MAINTENANCE	0	Genocchi 1	145	ENEL_00000374	Lazio	N.11CP21T2B02C000122	0	Rome
4295717959	7	43.70762	10.43242	Via Puglia				Pisa			56124	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000394	FINISHED	ACTIVE	0	Puglia 2 (ACI)	56124	ENEL_00000394	Tuscany	N.11EP21T2301C000009	0	Pisa
4295717960	7	44.70481	10.624132	Viale Trento Trieste				Reggio nell'Emilia			42124	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000491	FINISHED	ACTIVE	0	Trento Trieste	42124	ENEL_00000491	Emilia Romagna	N.11EP21T2302E000224	0	Reggio Emilia
4295717961	7	43.71377	10.4093	Piazza San Silvestro				Pisa			56127	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000081	FINISHED	ACTIVE	0	Piazza San Silvestro	0	ENEL_00000081	Tuscany	N.10EP21T2302A000007	0	Pisa
